spot_id,group
GM09_NBP2002-34MC_#10005,C
GM09_NBP2002-34MC_#10006,C
GM09_NBP2002-34MC_#10007,A
GM09_NBP2002-34MC_#10008,A
GM09_NBP2002-34MC_#10009,C
GM09_NBP2002-34MC_#10010,A
GM09_NBP2002-34MC_#10011,A
GM09_NBP2002-34MC_#10012,X
GM09_NBP2002-34MC_#10013,A
GM09_NBP2002-34MC_#10014,A
GM09_NBP2002-34MC_#10015,X
GM09_NBP2002-34MC_#10016,A
GM09_NBP2002-34MC_#10017,C
GM09_NBP2002-34MC_#10018,X
GM09_NBP2002-34MC_#10019,C
GM09_NBP2002-34MC_#10020,D
GM09_NBP2002-34MC_#10021,A
GM09_NBP2002-34MC_#10022,A
GM09_NBP2002-34MC_#10023,C
GM09_NBP2002-34MC_#10024,C
GM09_NBP2002-34MC_#10025,C
GM09_NBP2002-34MC_#10026,C
GM09_NBP2002-34MC_#10027,C
GM09_NBP2002-34MC_#10028,C
GM09_NBP2002-34MC_#10029,X
GM09_NBP2002-34MC_#10030,C
GM09_NBP2002-34MC_#10031,A
GM09_NBP2002-34MC_#10032,C
GM09_NBP2002-34MC_#10033,C
GM09_NBP2002-34MC_#10034,A
GM09_NBP2002-34MC_#10035,A
GM09_NBP2002-34MC_#10036,A
GM09_NBP2002-34MC_#10037,A
GM09_NBP2002-34MC_#10038,A
GM09_NBP2002-34MC_#10039,A
GM09_NBP2002-34MC_#10040,A
GM09_NBP2002-34MC_#10041,B
GM09_NBP2002-34MC_#10042,X
GM09_NBP2002-34MC_#10043,A
GM09_NBP2002-34MC_#10044,A
GM09_NBP2002-34MC_#10045,A
GM09_NBP2002-34MC_#10047,C
GM09_NBP2002-34MC_#10048,A
GM09_NBP2002-34MC_#10049,A
GM09_NBP2002-34MC_#10050,C
GM09_NBP2002-34MC_#10051,A
GM09_NBP2002-34MC_#10052,A
GM09_NBP2002-34MC_#10053,C
GM09_NBP2002-34MC_#10054,C
GM09_NBP2002-34MC_#10055,A
GM09_NBP2002-34MC_#10056,C
GM09_NBP2002-34MC_#10057,A
GM09_NBP2002-34MC_#10058,A
GM09_NBP2002-34MC_#10059,A
GM09_NBP2002-34MC_#10060,X
GM09_NBP2002-34MC_#10061,X
GM09_NBP2002-34MC_#10062,C
GM09_NBP2002-34MC_#10063,C
GM09_NBP2002-34MC_#10064,C
GM09_NBP2002-34MC_#10065,X
GM09_DF62-22PC_#10066,X
GM09_DF62-22PC_#10067,X
GM09_DF62-22PC_#10068,X
GM09_DF62-22PC_#10069,X
GM09_DF62-22PC_#10070,X
GM09_DF62-22PC_#10071,D
GM09_DF62-22PC_#10072,D
GM09_DF62-22PC_#10073,D
GM09_DF62-22PC_#10074,X
GM09_DF62-22PC_#10075,C
GM09_DF62-22PC_#10076,D
GM09_DF62-22PC_#10077,X
GM09_DF62-22PC_#10078,D
GM09_DF62-22PC_#10079,X
GM09_DF62-22PC_#10080,D
GM09_DF62-22PC_#10081,C
GM09_DF62-22PC_#10082,X
GM09_DF62-22PC_#10083,X
GM09_DF62-22PC_#10084,X
GM09_DF62-22PC_#10085,X
GM09_DF62-22PC_#10086,X
GM09_DF62-22PC_#10087,X
GM09_DF62-22PC_#10088,X
GM09_DF62-22PC_#10089,D
GM09_DF62-22PC_#10091,D
GM09_DF62-22PC_#10092,D
GM09_DF62-22PC_#10093,X
GM09_DF62-22PC_#10094,X
GM09_DF62-22PC_#10095,D
GM09_DF62-22PC_#10096,X
GM09_DF62-22PC_#10097,X
GM09_DF62-22PC_#10098,D
GM09_DF62-22PC_#10099,X
GM09_DF62-22PC_#10100,X
GM09_DF62-22PC_#10101,D
GM09_DF62-22PC_#10102,D
GM09_DF62-22PC_#10103,X
GM09_DF62-22PC_#10104,X
GM09_DF62-22PC_#10105,X
GM09_DF62-22PC_#10106,D
GM09_DF62-22PC_#10107,D
GM09_DF62-22PC_#10108,X
GM09_DF62-22PC_#10109,X
GM09_DF62-22PC_#10110,X
GM10_DF83-14PC_#10006,A
GM10_DF83-14PC_#10007,X
GM10_DF83-14PC_#10008,A
GM10_DF83-14PC_#10009,B
GM10_DF83-14PC_#10010,X
GM10_DF83-14PC_#10011,X
GM10_DF83-14PC_#10012,B
GM10_DF83-14PC_#10013,X
GM10_DF83-14PC_#10014,A
GM10_DF83-14PC_#10015,X
GM10_DF83-14PC_#10016,C
GM10_DF83-14PC_#10017,D
GM10_DF83-14PC_#10018,D
GM10_DF83-14PC_#10019,B
GM10_DF83-14PC_#10020,A
GM10_DF83-14PC_#10021,X
GM10_DF83-14PC_#10023,A
GM10_DF83-14PC_#10024,X
GM10_DF83-14PC_#10025,C
GM10_DF83-14PC_#10026,C
GM10_DF83-14PC_#10027,X
GM10_DF83-14PC_#10028,C
GM10_DF83-14PC_#10029,B
GM10_DF83-14PC_#10030,B
GM10_DF83-14PC_#10031,E
GM10_DF83-14PC_#10032,X
GM10_DF83-14PC_#10033,X
GM10_DF83-14PC_#10034,X
GM10_DF83-14PC_#10035,X
GM10_DF83-14PC_#10037,C
GM10_DF83-14PC_#10038,D
GM10_DF83-14PC_#10039,C
GM10_DF83-14PC_#10040,X
GM10_DF83-14PC_#10041,B
GM10_DF83-28PC_#10042,X
GM10_DF83-28PC_#10043,B
GM10_DF83-28PC_#10044,B
GM10_DF83-28PC_#10045,B
GM10_DF83-28PC_#10046,X
GM10_DF83-28PC_#10047,B
GM10_DF83-28PC_#10048,X
GM10_DF83-28PC_#10049,X
GM10_DF83-28PC_#10050,B
GM10_DF83-28PC_#10051,X
GM10_DF83-28PC_#10052,X
GM10_DF83-28PC_#10053,X
GM10_DF83-28PC_#10054,E
GM10_DF83-28PC_#10055,B
GM10_DF83-28PC_#10056,D
GM10_DF83-28PC_#10057,D
GM10_DF83-28PC_#10058,B
GM10_DF83-28PC_#10059,B
GM10_JR104-GC366_#10062,E
GM10_JR104-GC366_#10063,X
GM10_JR104-GC366_#10064,E
GM10_JR104-GC366_#10065,C
GM10_JR104-GC366_#10066,X
GM10_JR104-GC366_#10067,E
GM10_JR104-GC366_#10068,D
GM10_JR104-GC366_#10069,C
GM10_JR104-GC366_#10070,E
GM10_JR104-GC366_#10071,X
GM10_JR104-GC366_#10072,D
GM10_JR104-GC366_#10073,E
GM10_JR104-GC366_#10074,E
GM10_JR104-GC366_#10075,C
GM10_JR104-GC366_#10076,X
GM10_JR104-GC366_#10077,X
GM10_JR104-GC366_#10078,C
GM10_JR104-GC366_#10079,C
GM10_JR104-GC366_#10080,C
GM10_JR104-GC366_#10081,X
GM10_JR104-GC366_#10083,E
GM10_JR104-GC366_#10084,E
GM10_JR104-GC366_#10085,C
GM10_JR104-GC366_#10086,C
GM10_JR104-GC366_#10087,E
GM10_JR104-GC366_#10088,X
GM11_JR141-BC420_#10005,X
GM11_JR141-BC420_#10006,X
GM11_JR141-BC420_#10007,X
GM11_JR141-BC420_#10008,D
GM11_JR141-BC420_#10009,C
GM11_JR141-BC420_#10011,D
GM11_JR141-BC420_#10013,D
GM11_JR141-BC420_#10014,D
GM11_JR141-BC420_#10015,X
GM11_JR141-BC412_#10016,D
GM11_JR141-BC412_#10017,D
GM11_JR141-BC412_#10018,X
GM11_JR141-BC412_#10019,D
GM11_JR141-BC412_#10020,D
GM11_JR141-BC412_#10021,D
GM11_JR141-BC412_#10022,D
GM11_JR141-BC412_#10023,D
GM11_JR141-BC412_#10024,D
GM11_JR141-BC412_#10025,D
GM11_JR141-BC412_#10026,D
GM11_JR141-BC412_#10028,X
GM11_JR141-BC412_#10029,X
GM11_NBP2002-27BC_#10031,C
GM11_NBP2002-27BC_#10032,C
GM11_NBP2002-27BC_#10033,C
GM11_NBP2002-27BC_#10034,X
GM11_NBP2002-27BC_#10035,D
GM11_NBP2002-27BC_#10036,C
GM11_NBP2002-27BC_#10037,X
GM11_NBP2002-27BC_#10038,C
GM11_NBP2002-27BC_#10039,X
GM11_NBP2002-27BC_#10040,C
GM11_NBP2002-27BC_#10041,X
GM11_NBP2002-27BC_#10042,D
GM11_NBP2002-27BC_#10043,C
GM11_NBP2002-27BC_#10045,D
GM11_NBP2002-27BC_#10046,C
GM11_NBP2002-27BC_#10047,X
GM11_NBP2002-27BC_#10048,C
GM11_NBP2002-27BC_#10049,C
GM11_NBP2002-27BC_#10050,C
GM11_NBP2002-27BC_#10051,X
GM11_NBP2002-27BC_#10052,C
GM11_NBP2002-27BC_#10053,C
GM11_NBP2002-27BC_#10054,X
GM11_NBP2002-27BC_#10055,X
GM11_NBP2002-27BC_#10056,C
GM11_NBP2002-27BC_#10057,C
GM11_NBP2002-27BC_#10058,X
GM11_NBP2002-27BC_#10059,E
GM12_JR179-BC470_#10008,X
GM12_JR179-BC470_#10009,D
GM12_JR179-BC470_#10011,X
GM12_JR179-BC470_#10012,E
GM12_JR179-BC470_#10013,C
GM12_JR179-BC470_#10014,X
GM12_JR179-BC470_#10015,D
GM12_JR179-BC470_#10016,X
GM12_JR179-BC470_#10017,D
GM12_JR179-BC470_#10019,X
GM12_JR179-BC512_#10020,D
GM12_JR179-BC512_#10021,D
GM12_JR179-BC512_#10022,D
GM12_JR179-BC512_#10023,X
GM12_JR179-BC512_#10024,C
GM12_JR179-BC512_#10025,X
GM12_JR179-BC512_#10026,D
GM12_JR179-BC512_#10027,D
GM12_JR179-BC512_#10028,D
GM12_JR179-BC512_#10029,D
GM12_JR179-BC512_#10030,D
GM12_JR179-BC512_#10031,X
GM12_JR179-BC512_#10032,X
GM12_JR179-BC512_#10033,X
GM12_JR179-BC512_#10034,X
GM12_JR284-BC683_#10035,X
GM12_JR284-BC683_#10036,X
GM12_JR284-BC683_#10038,D
GM12_JR284-BC683_#10039,D
GM12_JR284-BC683_#10040,C
GM12_JR284-BC683_#10041,E
GM12_JR284-BC683_#10042,D
GM12_JR284-BC683_#10043,D
GM12_JR284-BC683_#10046,E
GM12_JR284-BC683_#10047,E
GM12_JR104-GC360_#10048,D
GM12_JR104-GC360_#10049,D
GM12_JR104-GC360_#10050,D
GM12_JR104-GC360_#10051,D
GM12_JR104-GC360_#10052,D
GM12_JR104-GC360_#10054,D
GM12_JR104-GC360_#10055,D
GM12_JR104-GC360_#10056,D
GM12_JR104-GC360_#10057,D
GM12_JR104-GC360_#10058,D
GM12_JR104-GC360_#10059,X
GM12_JR104-GC360_#10060,D
GM12_JR104-GC360_#10061,D
GM12_JR104-GC360_#10062,D
GM12_JR104-GC360_#10063,D
GM12_JR104-GC360_#10064,D
GM12_JR104-GC360_#10065,D
GM12_JR104-GC360_#10066,D
GM12_JR104-GC360_#10067,D
GM12_JR104-GC360_#10068,D
GM12_JR104-GC360_#10069,D
GM12_JR104-GC360_#10070,D
GM12_JR104-GC360_#10071,X
GM12_JR104-GC360_#10072,D
GM12_JR104-GC360_#10073,D
GM12_JR104-GC360_#10074,D
GM12_JR104-GC360_#10075,D
GM12_JR104-GC360_#10076,D
GM12_JR104-GC360_#10077,D
GM12_JR104-GC360_#10078,D
GM12_JR104-GC360_#10079,D
GM12_JR104-GC360_#10080,D
GM12_JR104-GC360_#10081,D
GM13_NBP0001-08KC_#10006,D
GM13_NBP0001-08KC_#10007,D
GM13_NBP0001-08KC_#10008,D
GM13_NBP0001-08KC_#10009,D
GM13_NBP0001-08KC_#10010,D
GM13_NBP0001-08KC_#10011,D
GM13_NBP0001-08KC_#10012,D
GM13_NBP0001-08KC_#10013,D
GM13_NBP0001-08KC_#10014,D
GM13_NBP0001-08KC_#10015,D
GM13_NBP0001-08KC_#10016,D
GM13_NBP0001-08KC_#10017,D
GM13_NBP0001-08KC_#10018,D
GM13_NBP0001-08KC_#10019,D
GM13_NBP0001-08KC_#10020,X
GM13_NBP0001-08KC_#10021,D
GM13_NBP0001-08KC_#10022,D
GM13_NBP0001-08KC_#10023,D
GM13_NBP0001-08KC_#10024,D
GM13_NBP0001-08KC_#10025,D
GM13_NBP0001-08KC_#10026,D
GM13_NBP0001-08KC_#10027,D
GM13_NBP0001-08KC_#10028,X
GM13_NBP0001-08KC_#10029,D
GM13_NBP0001-08KC_#10030,D
GM13_NBP0001-08KC_#10031,X
GM13_NBP0001-08KC_#10032,D
GM13_NBP0001-08KC_#10033,D
GM13_NBP0001-08KC_#10034,D
GM13_NBP0001-08KC_#10035,D
GM13_NBP0001-08KC_#10036,D
GM13_NBP0001-07PC_#10037,D
GM13_NBP0001-07PC_#10038,X
GM13_NBP0001-07PC_#10039,D
GM13_NBP0001-07PC_#10040,D
GM13_NBP0001-07PC_#10041,X
GM13_NBP0001-07PC_#10042,D
GM13_NBP0001-07PC_#10043,D
GM13_NBP0001-07PC_#10044,D
GM13_NBP0001-07PC_#10045,D
GM13_NBP0001-07PC_#10046,D
GM13_NBP0001-07PC_#10047,X
GM13_NBP0001-07PC_#10048,X
GM13_NBP0001-11PC_#10049,D
GM13_NBP0001-11PC_#10050,D
GM13_NBP0001-11PC_#10051,D
GM13_NBP0001-11PC_#10052,D
GM13_NBP0001-11PC_#10053,D
GM13_NBP0001-11PC_#10054,D
GM13_NBP0001-11PC_#10055,D
GM13_NBP0001-11PC_#10056,D
GM14_JR141-BC421_#10009,D
GM14_JR141-BC421_#10010,D
GM14_JR141-BC421_#10011,E
GM14_JR141-BC421_#10012,D
GM14_JR141-BC421_#10013,X
GM14_JR141-BC421_#10014,X
GM14_JR141-BC421_#10015,D
GM14_JR141-BC421_#10016,X
GM14_JR141-BC421_#10017,D
GM14_JR141-BC421_#10018,D
GM14_JR141-BC421_#10019,X
GM14_JR141-BC421_#10020,D
GM14_JR141-BC421_#10021,C
GM14_JR141-BC421_#10022,D
GM14_JR141-BC421_#10023,X
GM14_JR141-BC421_#10024,D
GM14_JR141-BC421_#10025,D
GM14_JR141-BC421_#10026,D
GM14_JR141-BC421_#10028,D
GM14_JR141-BC421_#10030,D
GM14_JR141-BC421_#10031,D
GM14_JR141-BC421_#10032,D
GM14_JR141-BC421_#10033,C
GM14_JR141-BC421_#10034,D
GM14_JR141-BC421_#10035,D
GM14_JR141-BC421_#10036,X
GM14_JR104-BC369_#10038,D
GM14_JR104-BC369_#10039,X
GM14_JR104-BC369_#10040,C
GM14_JR104-BC369_#10041,C
GM14_JR104-BC369_#10042,E
GM14_JR104-BC369_#10043,C
GM14_JR104-BC369_#10045,E
GM14_JR104-BC369_#10047,D
GM14_JR104-BC369_#10048,D
GM14_JR104-BC369_#10049,X
GM14_JR104-BC369_#10050,C
GM14_JR104-BC369_#10051,C
GM14_JR104-BC369_#10052,X
GM14_JR104-BC369_#10053,X
GM14_JR104-BC369_#10054,D
GM14_JR104-BC369_#10055,C
GM14_JR104-BC369_#10056,C
GM14_JR104-BC369_#10057,E
GM14_JR104-BC369_#10058,X
GM14_JR104-BC369_#10059,D
GM14_JR104-BC369_#10060,C
GM14_JR104-BC369_#10061,D
GM14_JR104-BC369_#10062,C
GM14_JR104-BC369_#10063,C
GM14_JR104-BC369_#10064,X
GM14_JR104-BC369_#10065,D
GM14_JR104-BC369_#10067,C
GM14_JR104-BC369_#10068,D
GM14_JR104-BC369_#10069,X
GM14_JR104-BC369_#10070,X
GM14_JR104-BC369_#10071,C
GM14_JR104-BC369_#10072,D
GM14_JR104-BC369_#10073,X
GM14_JR104-BC369_#10074,D
GM14_JR104-BC369_#10075,C
GM14_JR104-BC369_#10076,C
GM14_JR179-BC476_#10078,C
GM14_JR179-BC476_#10079,D
GM14_JR179-BC476_#10081,C
GM15_JR141-BC407_#10009,C
GM15_JR141-BC407_#10010,C
GM15_JR141-BC407_#10012,C
GM15_JR141-BC407_#10013,D
GM15_JR141-BC407_#10014,C
GM15_JR141-BC407_#10015,D
GM15_JR141-BC407_#10016,X
GM15_JR141-BC407_#10017,D
GM15_JR141-BC407_#10018,C
GM15_JR141-BC407_#10019,D
GM15_JR141-BC407_#10020,D
GM15_JR141-BC407_#10021,D
GM15_JR141-BC407_#10022,D
GM15_JR141-BC407_#10023,D
GM15_JR141-BC407_#10024,X
GM15_JR141-BC407_#10025,D
GM15_JR141-BC407_#10026,D
GM15_JR141-BC407_#10027,E
GM15_JR141-BC407_#10028,E
GM15_JR141-BC407_#10029,X
GM15_JR141-BC407_#10030,D
GM15_JR141-BC407_#10031,C
GM15_JR104-BC364_#10032,E
GM15_JR104-BC364_#10033,E
GM15_JR104-BC364_#10034,E
GM15_JR104-BC364_#10035,D
GM15_JR104-BC364_#10036,E
GM15_JR104-BC364_#10037,X
GM15_JR104-BC364_#10038,C
GM15_JR104-BC364_#10039,X
GM15_JR104-BC364_#10040,X
GM15_JR104-BC364_#10041,C
GM15_JR104-BC364_#10042,E
GM15_JR104-BC364_#10043,D
GM15_JR104-BC364_#10044,X
GM15_JR104-BC364_#10045,C
GM15_JR104-BC364_#10046,X
GM15_JR104-BC364_#10047,E
GM15_JR104-BC364_#10048,D
GM15_JR104-BC364_#10050,C
GM15_JR104-BC364_#10051,E
GM15_JR104-BC364_#10052,D
GM15_JR104-BC364_#10053,E
GM15_JR104-BC364_#10054,E
GM15_JR141-BC451_#10055,X
GM15_JR141-BC451_#10056,X
GM15_JR141-BC451_#10057,C
GM15_JR141-BC451_#10058,C
GM15_JR141-BC451_#10059,D
GM15_JR141-BC451_#10060,C
GM15_JR141-BC451_#10061,C
GM15_JR141-BC451_#10062,C
GM15_JR141-BC451_#10063,D
GM15_JR141-BC451_#10064,D
GM15_JR141-BC451_#10065,E
GM15_JR141-BC451_#10066,X
GM15_JR141-BC451_#10067,X
GM15_JR141-BC451_#10068,E
GM15_JR141-BC451_#10069,C
GM15_JR141-BC451_#10070,X
GM15_JR141-BC451_#10071,C
GM15_JR141-BC451_#10072,E
GM15_JR141-BC451_#10073,X
GM15_JR141-BC451_#10074,E
GM15_JR141-BC451_#10075,C
GM15_JR141-BC451_#10076,C
GM15_JR141-BC451_#10077,C
GM15_JR141-BC451_#10078,C
GM15_JR141-BC451_#10079,C
GM15_JR141-BC451_#10080,X
GM15_JR141-BC451_#10081,X
GM15_JR141-BC451_#10082,C
GM15_JR141-BC451_#10083,C
GM15_JR141-BC451_#10084,C
GM15_JR141-BC451_#10085,X
GM15_JR141-BC451_#10086,C
GM15_JR141-BC451_#10087,E
GM15_JR141-BC451_#10088,C
GM15_JR141-BC451_#10089,E
GM15_JR141-BC451_#10090,X
GM15_JR141-BC451_#10091,C
GM15_JR141-BC451_#10093,X
GM15_JR141-BC451_#10094,C
GM15_JR141-BC451_#10095,C
GM15_JR141-BC451_#10096,X
GM15_JR141-BC451_#10097,C
GM15_JR141-BC451_#10098,X
GM15_JR141-BC451_#10099,C
GM15_JR141-BC451_#10100,C
GM15_JR141-BC451_#10101,C
GM16_JR179-BC485_#10010,C
GM16_JR179-BC485_#10011,C
GM16_JR179-BC485_#10012,D
GM16_JR179-BC485_#10013,D
GM16_JR179-BC485_#10014,D
GM16_JR179-BC485_#10015,X
GM16_JR179-BC485_#10016,X
GM16_JR179-BC485_#10017,D
GM16_JR179-BC485_#10018,C
GM16_JR179-BC485_#10019,X
GM16_JR179-BC485_#10020,C
GM16_JR179-BC485_#10021,C
GM16_JR179-BC485_#10022,X
GM16_JR179-BC485_#10023,C
GM16_JR179-BC485_#10024,C
GM16_JR179-BC485_#10025,C
GM16_JR179-BC485_#10026,X
GM16_JR179-BC485_#10027,X
GM16_JR179-BC485_#10028,E
GM16_JR179-BC485_#10029,C
GM16_JR179-BC485_#10030,C
GM16_JR179-BC485_#10031,D
GM16_JR179-BC485_#10032,C
GM16_JR179-BC485_#10033,X
GM16_JR179-BC485_#10034,C
GM16_JR179-BC485_#10035,D
GM16_JR141-VC457_#10036,D
GM16_JR141-VC457_#10038,C
GM16_JR141-VC457_#10039,X
GM16_JR141-VC457_#10040,X
GM16_JR141-VC457_#10041,E
GM16_JR141-VC457_#10042,E
GM16_JR141-VC457_#10043,E
GM16_JR141-VC457_#10044,C
GM16_JR141-VC457_#10045,E
GM16_JR141-VC457_#10046,X
GM16_JR141-VC457_#10047,C
GM16_JR141-VC457_#10048,C
GM16_JR141-VC457_#10049,C
GM16_JR141-VC457_#10050,X
GM16_JR141-VC457_#10051,C
GM16_JR141-VC457_#10052,C
GM16_JR141-VC457_#10053,C
GM16_JR141-VC457_#10054,D
GM16_JR141-VC457_#10055,D
GM16_JR141-VC457_#10056,X
GM16_JR141-VC457_#10057,C
GM16_JR141-VC457_#10058,C
GM16_JR141-VC457_#10059,C
GM16_JR141-VC457_#10060,C
GM16_JR141-VC457_#10061,X
GM16_JR141-VC457_#10062,D
GM16_JR141-VC457_#10063,C
GM16_JR141-VC457_#10064,X
GM16_JR141-VC457_#10065,D
GM16_JR141-VC457_#10066,X
GM16_JR141-VC457_#10067,C
GM16_JR141-VC457_#10068,C
GM16_JR141-VC457_#10069,X
GM16_JR141-VC457_#10070,X
GM16_JR141-VC457_#10071,C
GM16_JR141-BC431_#10072,D
GM16_JR141-BC431_#10073,D
GM16_JR141-BC431_#10074,C
GM16_JR141-BC431_#10075,D
GM16_JR141-BC431_#10076,C
GM16_JR141-BC431_#10077,D
GM16_JR141-BC431_#10078,D
GM16_JR141-BC431_#10079,D
GM16_JR141-BC431_#10080,D
GM16_JR141-BC431_#10081,D
GM16_JR141-BC431_#10082,D
GM16_JR141-BC431_#10083,D
GM16_JR141-BC431_#10084,C
GM16_JR141-BC431_#10085,D
GM16_JR141-BC431_#10086,D
GM16_JR141-BC431_#10087,D
GM16_JR141-BC431_#10088,X
GM16_JR141-BC431_#10089,D
GM16_JR141-BC431_#10090,D
GM16_JR141-BC431_#10091,D
GM16_JR141-BC431_#10093,X
GM16_JR141-BC431_#10094,D
GM16_JR141-BC431_#10095,D
GM16_JR141-BC431_#10096,X
GM16_JR179-BC474_#10097,X
GM16_JR179-BC474_#10098,A
GM16_JR179-BC474_#10099,X
GM16_JR179-BC474_#10100,X
GM16_JR179-BC474_#10101,C
GM16_JR179-BC474_#10103,D
GM16_JR179-BC474_#10104,X
GM16_JR179-BC474_#10105,D
GM16_JR179-BC474_#10106,D
GM16_JR179-BC474_#10107,C
GM16_JR179-BC474_#10108,X
GM16_JR179-BC474_#10109,C
GM16_JR179-BC474_#10110,C
GM16_JR179-BC474_#10111,X
GM16_JR179-BC474_#10112,C
GM16_JR179-BC474_#10113,C
GM16_JR179-BC474_#10114,C
GM16_JR179-BC474_#10115,C
GM16_JR179-BC474_#10116,X
GM16_JR179-BC474_#10117,D
GM16_JR179-BC474_#10118,C
GM16_JR179-BC474_#10119,C
GM16_JR179-BC474_#10120,C
GM16_JR179-BC474_#10121,C
GM16_JR179-BC474_#10122,D
GM16_JR179-BC474_#10123,C
GM16_JR179-BC474_#10124,X
GM16_JR179-BC474_#10125,D
GM16_JR179-BC474_#10126,X
GM16_JR179-BC474_#10127,D
